Iteration,Loss
10,2.081146
20,1.9879583
30,2.0940251
40,2.0018506
50,1.9534538
60,2.0139883
70,2.1142433
80,2.083043
90,2.1582506
100,2.0273607
110,2.1103976
120,2.1756105
130,2.1725452
140,2.1773071
150,2.1626673
160,2.1773071
170,2.1773071
180,2.1773071
190,2.1773074
200,2.1773071
210,2.1773074
220,2.1773074
230,2.1737638
240,2.1773071
250,2.1773071
260,2.1773071
270,2.1773074
280,2.1773071
290,2.1773071
300,2.1773074
310,2.1773071
320,2.1773071
330,2.1773071
340,2.1773071
350,2.174524
360,2.1773071
370,2.171297
380,2.0164945
390,2.0943346
400,2.1522908
410,2.1006613
420,2.1389074
430,2.0845883
440,2.1773071
450,2.1773074
460,2.1773071
470,2.1773071
480,2.1773074
490,2.1773071
10,2.1337705
20,2.1669664
30,2.1771786
40,2.0599627
50,1.7816978
60,1.949589
70,2.0659614
80,1.6880982
90,1.3665296
100,1.5238369
110,0.9713497
120,1.2182456
130,0.9861536
140,0.9897836
150,1.1766486
160,1.1106198
170,0.9912038
180,1.0202575
190,1.1467825
200,1.1733849
210,1.1733041
220,1.1571853
230,1.1314151
240,1.1943309
250,0.9723867
260,1.0170889
270,1.1669924
280,1.0227072
290,1.2740437
300,0.97464246
310,0.93184584
320,1.065922
330,1.2389958
340,1.2444941
350,1.2521361
360,1.1723776
370,0.8856828
380,1.6018428
390,0.95853484
400,0.8863754
410,1.2055813
420,1.0252461
430,1.1626849
440,1.0024395
450,1.211962
460,1.3743776
470,1.0501866
480,1.0411755
490,1.0175197
500,1.5206674
510,1.0812016
520,0.893273
530,1.1308379
540,1.2398297
550,1.163617
560,0.81913114
570,1.1969614
580,1.2123711
590,1.1025349
600,1.3578842
610,0.9546735
620,1.4830482
630,1.2539656
640,0.99455434
650,1.1364229
660,1.0631596
670,1.1655993
680,1.1400374
690,1.136436
700,1.2900053
710,1.0197577
720,1.0120926
730,1.3153656
740,1.2607449
750,1.221188
760,1.087422
770,1.1649557
780,0.81330943
790,1.0015604
800,0.695326
810,1.0176238
820,0.8761139
830,1.0531383
840,1.1010957
850,0.9118999
860,1.1399906
870,0.97754717
880,0.93776524
890,1.027041
900,1.2298372
910,1.1683726
920,0.9548481
930,0.9954407
940,1.1161757
950,0.8897147
960,0.7722752
970,1.0508987
980,1.0828552
990,0.99871314
